,dose,real_date,extrapolated,vaccinated,interpolated,group,population
1205,2_wait,2021-06-05,False,21540031,1,all,56286961
678,2,2021-06-05,False,23493149,1,all,56286961
146,1,2021-06-06,False,33800100,1,all,56286961
679,2,2021-06-06,False,23710639,1,all,56286961
1206,2_wait,2021-06-06,False,21719454,1,all,56286961
680,2,2021-06-07,False,23954746,1,all,56286961
147,1,2021-06-07,False,33889737,1,all,56286961
1207,2_wait,2021-06-07,False,21874130,1,all,56286961
681,2,2021-06-08,False,24207442,1,all,56286961
148,1,2021-06-08,False,33998807,1,all,56286961
682,2,2021-06-09,False,24461356,1,all,56286961
149,1,2021-06-09,False,34148540,1,all,56286961
1208,2_wait,2021-06-09,False,22442378,1,all,56286961
683,2,2021-06-10,False,24710006,1,all,56286961
150,1,2021-06-10,False,34321982,1,all,56286961
1209,2_wait,2021-06-10,False,22755904,1,all,56286961
151,1,2021-06-11,False,34499121,1,all,56286961
1210,2_wait,2021-06-11,False,23077505,1,all,56286961
684,2,2021-06-11,False,24961647,1,all,56286961
1211,2_wait,2021-06-12,False,23493149,1,all,56286961
685,2,2021-06-12,False,25238461,1,all,56286961
152,1,2021-06-12,False,34727266,1,all,56286961
1212,2_wait,2021-06-13,False,23710639,1,all,56286961
686,2,2021-06-13,False,25391910,1,all,56286961
153,1,2021-06-13,False,34851133,1,all,56286961
1213,2_wait,2021-06-14,False,23954746,1,all,56286961
687,2,2021-06-14,False,25566172,1,all,56286961
154,1,2021-06-14,False,34965739,1,all,56286961
688,2,2021-06-15,False,25741873,1,all,56286961
155,1,2021-06-15,False,35120384,1,all,56286961
1214,2_wait,2021-06-15,False,24207442,1,all,56286961
156,1,2021-06-16,False,35290754,1,all,56286961
1215,2_wait,2021-06-16,False,24461356,1,all,56286961
689,2,2021-06-16,False,25922502,1,all,56286961
157,1,2021-06-17,False,35507908,1,all,56286961
1216,2_wait,2021-06-17,False,24710006,1,all,56286961
690,2,2021-06-17,False,26098660,1,all,56286961
158,1,2021-06-18,False,35704156,1,all,56286961
1217,2_wait,2021-06-18,False,24961647,1,all,56286961
691,2,2021-06-18,False,26260689,1,all,56286961
1218,2_wait,2021-06-19,False,25238461,1,all,56286961
692,2,2021-06-19,False,26456334,1,all,56286961
159,1,2021-06-19,False,35959549,1,all,56286961
693,2,2021-06-20,False,26534930,1,all,56286961
160,1,2021-06-20,False,36101772,1,all,56286961
1219,2_wait,2021-06-20,False,25391910,1,all,56286961
1220,2_wait,2021-06-21,False,25566172,1,all,56286961
694,2,2021-06-22,False,26745658,1,all,56286961
161,1,2021-06-22,False,36377418,1,all,56286961
1221,2_wait,2021-06-22,False,25741873,1,all,56286961
695,2,2021-06-23,False,26874346,1,all,56286961
162,1,2021-06-23,False,36564932,1,all,56286961
1222,2_wait,2021-06-23,False,25922502,1,all,56286961
696,2,2021-06-24,False,27011027,1,all,56286961
1223,2_wait,2021-06-24,False,26098660,1,all,56286961
163,1,2021-06-24,False,36767322,1,all,56286961
1224,2_wait,2021-06-25,False,26260689,1,all,56286961
697,2,2021-06-25,False,27144402,1,all,56286961
164,1,2021-06-25,False,36944836,1,all,56286961
698,2,2021-06-26,False,27316727,1,all,56286961
165,1,2021-06-26,False,37157522,1,all,56286961
1225,2_wait,2021-06-26,False,26456334,1,all,56286961
1226,2_wait,2021-06-27,False,26534930,1,all,56286961
699,2,2021-06-27,False,27414718,1,all,56286961
166,1,2021-06-27,False,37275886,1,all,56286961
700,2,2021-06-28,False,27522036,1,all,56286961
167,1,2021-06-28,False,37382384,1,all,56286961
701,2,2021-06-29,False,27637521,1,all,56286961
168,1,2021-06-29,False,37497758,1,all,56286961
1227,2_wait,2021-06-29,False,26745658,1,all,56286961
1228,2_wait,2021-06-30,True,26874346,1,all,56286961
702,2,2021-06-30,True,27696483,0,all,56286961
169,1,2021-06-30,True,37726253,0,all,56286961
170,1,2021-07-01,True,37958171,0,all,56286961
1229,2_wait,2021-07-01,True,27011027,1,all,56286961
703,2,2021-07-01,True,27752022,0,all,56286961
171,1,2021-07-02,True,38183353,0,all,56286961
1230,2_wait,2021-07-02,True,27144402,1,all,56286961
704,2,2021-07-02,True,27814297,0,all,56286961
172,1,2021-07-03,True,38396755,0,all,56286961
1231,2_wait,2021-07-03,True,27316727,1,all,56286961
705,2,2021-07-03,True,27888352,0,all,56286961
173,1,2021-07-04,True,38647612,0,all,56286961
706,2,2021-07-04,True,27924952,0,all,56286961
1232,2_wait,2021-07-04,True,27414718,1,all,56286961
707,2,2021-07-05,True,27950300,0,all,56286961
174,1,2021-07-05,True,38909721,0,all,56286961
1233,2_wait,2021-07-05,True,27522036,1,all,56286961
708,2,2021-07-06,True,27989663,0,all,56286961
175,1,2021-07-06,True,39157815,0,all,56286961
1234,2_wait,2021-07-06,True,27637521,1,all,56286961
176,1,2021-07-07,True,39366156,0,all,56286961
1235,2_wait,2021-07-07,True,27696483,0,all,56286961
709,2,2021-07-07,True,28068779,0,all,56286961
1236,2_wait,2021-07-08,True,27752022,0,all,56286961
710,2,2021-07-08,True,28162365,0,all,56286961
177,1,2021-07-08,True,39560027,0,all,56286961
1237,2_wait,2021-07-09,True,27814297,0,all,56286961
711,2,2021-07-09,True,28264644,0,all,56286961
178,1,2021-07-09,True,39745205,0,all,56286961
